folder,file,ptm,gene,other
PTM001-500,PTM013,CO1/13-GWSFn,gwsfn,NA
PTM001-500,PTM014,PTM14,psbar2,P1409319
PTM001-500,PTM024,PTM24,psbar2,P1409319
PTM001-500,PTM037,PTM37,psbaf,P1409947
PTM001-500,PTM037,PTM37,psbar2,P1409319
PTM001-500,PTM069,PTM69,psbar2,P1409319
PTM001-500,PTM070,PTM70,psbaf,P1409947
PTM001-500,PTM070,PTM70,psbar2,P1409319
PTM001-500,PTM071,PTM71,psbar2,P1409319
PTM001-500,PTM080,PTM80,psbar2,P1409319
PTM001-500,PTM086,PTM86,psbar2,P1409319
PTM001-500,PTM088,PTM88,psbaf,P1409947
PTM001-500,PTM088,PTM88,psbar2,P1409319
PTM001-500,PTM093,PTM93,psbaf,P1409947
PTM001-500,PTM093,PTM93,psbar2,P1409319
PTM001-500,PTM095,PTM95,psbaf,P1409947
PTM001-500,PTM095,PTM95,psbar2,P1409319
PTM001-500,PTM105,PTM105,psbaf,P1409947
PTM001-500,PTM105,PTM105,psbar2,P1409319
PTM001-500,PTM109,PTM109,psbar2,P1409319
PTM001-500,PTM123,PTM123,g0,P1511749
PTM001-500,PTM123,PTM123,g04,P1511749
PTM001-500,PTM123,PTM123,g04,P1511755
PTM001-500,PTM123,PTM123,g07,P1511749
PTM001-500,PTM123,PTM123,g4,P1511749
PTM001-500,PTM123,PTM123,g4,P1511755
PTM001-500,PTM123,PTM123,gwsfn,P1511749
PTM001-500,PTM123,PTM123,gwsfn,P1511755
PTM001-500,PTM123,PTM123,gwsrx,P1511749
PTM001-500,PTM141,PTM141,psbaf,P1409947
PTM001-500,PTM141,PTM141,psbaf,P1409970
PTM001-500,PTM141,PTM141,psbar2,P1409319
PTM001-500,PTM149,PTM149,psbar2,P1409319
PTM001-500,PTM154,PTM154,psbaf,P1409795
PTM001-500,PTM159,PTM159,gwsfn,P1409947
PTM001-500,PTM159,PTM159,psbaf,P1409947
PTM001-500,PTM159,PTM159,psbar2,P1409319
PTM001-500,PTM160,PTM160,psbaf,P1409947
PTM001-500,PTM160,PTM160,psbar2,P1409319
PTM001-500,PTM165,PTM165,gwsfn,P1409947
