PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project
NA,Genus(capitalized) species(lower case),separated by semicolon ; if multiple entries,Genus(capitalized) species(lower case),"any uncertainty  given about the id (ie. aff. , cf., ? , s.s. ,s.l.) https://repository.si.edu/bitstream/handle/10088/28986/Sigovini_2016%20ON_%20w%20appendix.pdf?sequence=1&isAllowed=y",BOLD / Martonelab / None,NA,NA,x / success / failure,X/F/R/FR,X/F/R/FR,X/F/R/FR,Herbarium / Martonelab / Photo / None,NA,NA,enter in one of the four possibilities,in full (ie USA type United States),no abbreviations (ie. BC should be written as British Columbia),"Largest to smallest area, separate with commas, do not use colons, do not end with period",DD-MMM-YYYY,"Upper case ex: Unilocular, Fertile, Male, Female, Tetrasporic, Cystocarpic, Spermatangial,Sporophyte","i.e. colour, height, 
plot/site numbers, genetic anomalies etc.",A#####,retire?,"any habitat information ie: light level, host substratum, intertidal location and associated species placed here","ie. 99 m, 55 ft etc. please include units and leave a space between units and the value",Yes or leave blank,NA,NA,"only one collector should be listed, format: First initial. Last",separate by comma only,Field determiner name(s). Please separate names by a comma only. Field/original identification only.,DD-MMM-YYYY,NA
1,Corallina officinalis var. chilensis,NA,Corallina officinalis,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",15-Mar-2007,NA,NA,A88572,NA,"Epilithic, low intertidal, above ""Coralline Bench"" on vertical wall",NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Bossiella plumosa,no more DNA,Bossiella plumosa,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",15-Mar-2007,NA,NA,A88573,NA,"Epilithic, mid intertidal, ""Coralline bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-2007,NA,NA,A87283,NA,"Epilithic, very low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-2007,NA,NA,A87284,NA,"Epilithic, low intertidal, ""Coralline Bench"", adjacent to C. cheilosporioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Corallina vancouveriensis,NA,Corallina vancouveriensis,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-2007,NA,NA,A88574,NA,"Epilithic, mid-intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-2007,NA,NA,A87285,NA,"Epilithic, mid-intertidal tidepool with 4 dynamometers",4 dy,NA,NA,NA,NA,NA,NA,NA,NA
7,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-2007,NA,NA,A87286,NA,"Epilithic, mid-intertidal tidepool with 4 dynamometers",4 dy,NA,NA,NA,NA,NA,NA,NA,NA
8,Lithothrix aspergillum,NA,Lithothrix aspergillum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Treasure Cove, Laguna Beach, CA",27-Aug-2007,NA,NA,A88575,NA,"Epilithic, collected by snorkle",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Bossiella dichotoma,NA,Bossiella dichotoma,NA,NA,NA,2007-10-03,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Crystal Cove, Laguna Beach, CA",28-Aug-2007,NA,NA,A88576,NA,"Epilithic, +1.0 feet in tidepools",+1.0,NA,NA,NA,NA,NA,NA,NA,NA
10,Corallina officinalis var. chilensis,NA,Corallina officinalis,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Crystal  Cove, Laguna Beach, CA",28-Aug-2007,NA,NA,A88577,NA,Collected from drift,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Corallina officinalis var. chilensis,NA,Corallina officinalis,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Crystal  Cove, Laguna Beach, CA",28-Aug-2007,NA,NA,A88578,NA,Collected from drift,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Corallina vancouveriensis,NA,Corallina vancouveriensis,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Crystal  Cove, Laguna Beach, CA",28-Aug-2007,NA,"Patrick had ""californiensis"" label on this specimen",A88579,NA,Collected from drift,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,no match for COI,psbA failed,Haliptilon gracile,NA,NA,NA,2013-04-09,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Crystal  Cove, Laguna Beach, CA",28-Aug-2007,NA,NA,A88580,NA,Collected from drift,NA,NA,NA,NA,NA,NA,NA,NA,NA
