general_folder,folder,file,ptm,gene,other,fnm
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM014,PTM14,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM024,PTM24,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM037,PTM37,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM037,PTM37,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM069,PTM69,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM070,PTM70,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM070,PTM70,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM071,PTM71,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM080,PTM80,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM086,PTM86,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM088,PTM88,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM088,PTM88,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM093,PTM93,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM093,PTM93,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM095,PTM95,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM095,PTM95,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM105_psbAF1_P1409947_048.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM105,PTM105,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM105,PTM105,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM109,PTM109,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM123,PTM123,g0,P1511749,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM123,PTM123,g04,P1511749,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM123,PTM123,g04,P1511755,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM123,PTM123,g07,P1511749,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM123,PTM123,g4,P1511749,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM123,PTM123,g4,P1511755,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM123,PTM123,gwsfn,P1511749,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM123,PTM123,gwsfn,P1511755,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM123,PTM123,gwsrx,P1511749,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM13_GWSFn_GWSFn.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM141_psbAF1_P1409947_063.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM141,PTM141,psbaf,P1409947,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM141,PTM141,psbaf,P1409970,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM141,PTM141,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM149,PTM149,psbar2,P1409319,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM154,PTM154,psbaf,P1409795,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM159_GWSFn_P1409947_015.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM159_psbAF1_P1409947_064.ab1,NA,NA,NA,NA
/Volumes/martonelab/Sequences/0_PTM,PTM001-500,PTM159,PTM159,gwsfn,P1409947,NA
